size_img,real_time
100,0.00
500,0.02
1000,0.08
5000,2.12
10000,8.34
100,0.02
500,0.02
1000,0.08
5000,2.07
10000,8.33
100,0.02
500,0.02
1000,0.08
5000,1.98
10000,8.06
