size_img,real_time
100,0.01
500,0.01
1000,0.03
5000,0.84
10000,3.40
100,0.01
500,0.01
1000,0.04
5000,0.83
10000,3.42
100,0.03
500,0.01
1000,0.03
5000,0.81
10000,3.37
